sID	Target_pattern	Rating	Sex	Age
165	causation	99	1	32
169	causation	73	1	28
173	causation	93	2	35
175	causation	99	2	27
177	causation	99	2	60
179	causation	99	2	33
183	causation	95	1	29
185	causation	46	2	60
187	causation	100	1	22
189	causation	100	2	27
191	causation	100	1	25
193	causation	100	1	24
197	causation	68	2	20
172	causation	100	2	31
186	causation	73	2	21
194	causation	98	2	35
196	causation	98	1	23
200	causation	61	1	19
202	causation	99	2	44
204	causation	100	1	21
208	causation	100	1	66
210	causation	98	1	18
212	causation	99	2	22
214	causation	92	1	44
216	causation	66	1	44
224	causation	100	2	26
226	causation	86	2	71
228	causation	100	2	25
230	causation	4	2	47
234	causation	92	2	34
238	causation	51	2	27
240	causation	100	1	22
242	causation	100	2	28
189	prevention	100	2	27
195	prevention	99	1	27
197	prevention	92	2	20
201	prevention	100	2	29
203	prevention	99	1	28
205	prevention	98	2	66
207	prevention	1	1	25
209	prevention	100	2	50
211	prevention	99	2	27
213	prevention	100	1	44
215	prevention	99	2	41
219	prevention	100	2	21
221	prevention	76	2	42
223	prevention	100	1	29
225	prevention	100	1	25
229	prevention	100	2	55
233	prevention	99	2	48
237	prevention	87	1	24
239	prevention	20	2	34
164	prevention	100	2	27
170	prevention	100	2	22
172	prevention	100	2	31
176	prevention	99	2	32
178	prevention	53	2	20
180	prevention	99	1	57
182	prevention	99	2	24
184	prevention	79	2	34
186	prevention	80	2	21
190	prevention	92	1	23
192	prevention	99	1	35
194	prevention	79	2	35
196	prevention	100	1	23
