sID	Q_order	Col_Order	Barrier_Pos	blame	difficulty	Study_Code	open_Q	Age	Sex	Technical_issues	Duration	Disp_Code	sID_cond
334	blame_first	blue_first	bottom	24	-50	MC01	As blue had a easier shot, they had a higher chance of getting the gray marble into the hole, the blue player had to make a more complicated judgement requiring more accuracy, while the green player had a straight shot	19	1	-99	200	31	1
347	blame_first	blue_first	bottom	0	-50	MC01	both players didn't knock the grey marble into the goal, equally to blame. but blue marble in harder position	21	2	-99	148	31	2
350	blame_first	blue_first	bottom	-2	-50	MC01	because the blue marble has a wall and would have to calculate more trajectory.	25	1	none	124	31	3
376	blame_first	blue_first	bottom	0	-45	MC01	Both players failed so both equally to blame. However due to the positioning on the long barrier by the blue marble they had a more difficult job to succeed as they can only come in at 1 angle where as red had 2 but both failed so both equally to blame	31	2	-99	294	31	4
380	blame_first	blue_first	bottom	42	-41	MC01	Green has a straight line. Blue has to factor in bounces.	50	1	-99	103	31	5
395	blame_first	blue_first	bottom	14	-23	MC01	The green ball would have been able to make a more direct hit than the blue one as it had the wall in the way	26	2	-99	191	31	6
412	blame_first	blue_first	bottom	35	-37	MC01	the green just had to aim at the object whilst the blue did not have a direct line.	42	1	none	327	31	7
418	blame_first	blue_first	bottom	37	-41	MC01	the green marble is not limited by the barrier so can aim at the grey marble better	37	2	-99	252	31	8
449	blame_first	blue_first	bottom	0	37	MC01	Harder because they have less aim, bigger space to make judgements in. Also, don't think there is any 'blame' involved at all. Not neccessary to 'blame' someone. It's a game. Neither are to blame for the lack of score.	28	2	-99	208	31	9
469	blame_first	blue_first	bottom	48	-49	MC01	At the bottom there is a wall in the way of a clear shot. But the other player has a clear shot just needs a good aim.	28	1	None.	525	31	10
470	blame_first	blue_first	bottom	10	-7	MC01	The blue player had the barrier next to them so they have to account for more bounces than the green player.	23	1	-99	139	31	11
493	blame_first	blue_first	bottom	50	-50	MC01	Blue player had to bounce the ball at least once	27	1	-99	120	31	12
500	blame_first	blue_first	bottom	0	-38	MC01	None of the players seemed to influence each other in this game.	22	1	No issues.	121	31	13
337	blame_first	blue_first	top	-50	48	MC01	The blue marble had no barriers blocking the line of sight, making the trajectory much easier to calculate. Missing with blue is more of an error than green.	30	1	-99	159	31	1
349	blame_first	blue_first	top	-48	46	MC01	The marble with a clear line of sight of the gate protected by the grey marble is to blame	63	1	Yes, the PROLIFIC ID would not copy and paste, had to enter code manually.	492	31	2
355	blame_first	blue_first	top	-34	50	MC01	I thought that the blue player was more to blame because they had the easier shot with no blocking barrier on this turn, so it was more of their responsibility.	28	1	-99	104	31	3
360	blame_first	blue_first	top	0	32	MC01	Even though the green marble had a bit more of a difficult time, it was round one of the game and so both players would still be getting a feel for the game.	26	2	-99	126	31	4
381	blame_first	blue_first	top	0	24	MC01	Neither were able to get the grey marble. The barrier has some effect but at the same time, it acts as a limiter that can help the player keep a steady level.	23	1	-99	195	31	5
383	blame_first	blue_first	top	0	44	MC01	they were equally to blame as they came from the same angel	52	1	none	307	31	6
416	blame_first	blue_first	top	-20	44	MC01	The green player had a bar right next to its marble starting position, meaning it had far less of an angle to hit the grey marble and would have to rely on bouncing as a zig-zag before possibly hitting the grey marble. It is not, however, impossible in mathematical terms (I think). The blue player just had to shoot its marble in a straight line so it would be far easier for them.	30	2	No issues	215	31	7
426	blame_first	blue_first	top	0	36	MC01	Both players were to be blamed equally as neither influenced the difficulty of knocking the grey marble in for the other player. Neither player even touched the grey marble. However, it seems to be harder for the green player to knock the grey marble into the gate than the blue player as the green player had an obstruction (the black line beside it) whereas the blue player did not.	22	2	NIL	325	31	8
